ID,Distance,Layer,Type,Method
101,0.9454676561599837,dense1,WT,NNSTD
101,0.8474981134933328,dense2,WT,NNSTD
101,0.9294608453918405,dense3,WT,NNSTD
102,0.5835345643939394,conv1,WT,NNSTD
102,0.7683823103890894,conv2,WT,NNSTD
102,0.9451934786810963,dense1,WT,NNSTD
102,0.8471051930621427,dense2,WT,NNSTD
102,0.953556414484986,dense3,WT,NNSTD
103,0.5624367071965273,conv1,WT,NNSTD
103,0.769679385920147,conv2,WT,NNSTD
103,0.9454831412327638,dense1,WT,NNSTD
103,0.84667258507842,dense2,WT,NNSTD
103,0.9565712916963338,dense3,WT,NNSTD
104,0.5810114709126658,conv1,WT,NNSTD
104,0.7693673393845721,conv2,WT,NNSTD
104,0.9456247140036514,dense1,WT,NNSTD
104,0.8492262379835878,dense2,WT,NNSTD
104,0.9617885720516988,dense3,WT,NNSTD
105,0.5647344970185044,conv1,WT,NNSTD
105,0.7694788212694579,conv2,WT,NNSTD
105,0.9453620479413105,dense1,WT,NNSTD
105,0.8485784444699995,dense2,WT,NNSTD
105,0.9551875993093214,dense3,WT,NNSTD
106,0.5857640527284249,conv1,WT,NNSTD
106,0.768352343033742,conv2,WT,NNSTD
106,0.9451087370801445,dense1,WT,NNSTD
106,0.8480534149781798,dense2,WT,NNSTD
106,0.9463201974801405,dense3,WT,NNSTD
107,0.5618994515170501,conv1,WT,NNSTD
107,0.7677190938027207,conv2,WT,NNSTD
107,0.9455662662276403,dense1,WT,NNSTD
107,0.8495175494562193,dense2,WT,NNSTD
107,0.9382802635127776,dense3,WT,NNSTD
108,0.5575347601046614,conv1,WT,NNSTD
108,0.7686056020528216,conv2,WT,NNSTD
108,0.9462746329412235,dense1,WT,NNSTD
108,0.8477404353625888,dense2,WT,NNSTD
108,0.9430088711606995,dense3,WT,NNSTD
109,0.5649151361812208,conv1,WT,NNSTD
109,0.7686010904941112,conv2,WT,NNSTD
109,0.9459059239696804,dense1,WT,NNSTD
109,0.8480244671917612,dense2,WT,NNSTD
109,0.954492592466195,dense3,WT,NNSTD
110,0.5700605728523926,conv1,WT,NNSTD
110,0.7684344358702933,conv2,WT,NNSTD
110,0.9449748344315916,dense1,WT,NNSTD
110,0.8446715719933157,dense2,WT,NNSTD
110,0.9298714574647828,dense3,WT,NNSTD
111,0.5866668753556815,conv1,WT,NNSTD
111,0.7677247284631386,conv2,WT,NNSTD
111,0.9452819167350506,dense1,WT,NNSTD
111,0.8478852173179181,dense2,WT,NNSTD
111,0.9529189164694092,dense3,WT,NNSTD
112,0.5664795690313298,conv1,WT,NNSTD
112,0.7689026514810431,conv2,WT,NNSTD
112,0.9458702362289193,dense1,WT,NNSTD
112,0.8486136945670867,dense2,WT,NNSTD
112,0.9468751005778655,dense3,WT,NNSTD
